date,location,latitude,longitude,zone,kota_adm,population_density,day_of_week,day_of_month,month,year,day_of_year,is_weekend,season,weather,temperature_c,humidity_pct,rainfall_mm,event_name,event_visitors,has_event,volume_kg,organic_kg,anorganic_kg,recyclable_kg
########,Jakarta Barat - Kebon Jeruk,-61.901,1.067.673,urban,Jakarta Barat,17500,2,15,5,2024,136,0,Kemarau,Cerah,29.5,71.1,5.5,Tidak Ada,0,0,294790.5,188154,106636.4,40937.76
########,Jakarta Selatan - Kebayoran Baru,-62.447,1.067.969,urban,Jakarta Selatan,14800,2,15,5,2024,136,0,Kemarau,Cerah,34.7,76.5,3.5,Tidak Ada,0,0,250445.4,147875.7,102569.7,52287.23
########,Jakarta Selatan - Tebet,-62.262,1.068.492,urban,Jakarta Selatan,21200,2,15,5,2024,136,0,Kemarau,Cerah,35.5,77.4,8.5,Tidak Ada,0,0,378063.9,229888.8,148175.1,59442.34
########,Jakarta Selatan - Pancoran,-6.248,1.068.418,urban,Jakarta Selatan,17600,2,15,5,2024,136,0,Kemarau,Cerah,36,59,0,Tidak Ada,0,0,265592.3,158973.3,106619,43780.87
########,Jakarta Selatan - Jagakarsa,-63.325,1.068.256,suburban,Jakarta Selatan,11500,2,15,5,2024,136,0,Kemarau,Cerah,33.7,71.6,1.1,Tidak Ada,0,0,142760.6,81071.23,61689.4,22363.01
########,Jakarta Timur - Jatinegara,-62.194,1.068.706,komersial,Jakarta Timur,21800,2,15,5,2024,136,0,Kemarau,Cerah,29.3,68.6,0,Tidak Ada,0,0,441511.5,265296.1,176215.5,81076.2
########,Jakarta Timur - Cakung,-61.824,1.069.372,industri,Jakarta Timur,14200,2,15,5,2024,136,0,Kemarau,Cerah,30.2,69.8,5.1,Tidak Ada,0,0,199139.9,127571,71568.9,32547.31
########,Jakarta Timur - Duren Sawit,-62.361,106.91,urban,Jakarta Timur,17300,2,15,5,2024,136,0,Kemarau,Cerah,32.1,72.7,5,Tidak Ada,0,0,314221.7,180054.8,134166.8,53392.34
########,Jakarta Timur - Matraman,-62.026,1.068.589,urban,Jakarta Timur,36200,2,15,5,2024,136,0,Kemarau,Cerah,35.6,62.6,1.8,Tidak Ada,0,0,497925.1,317850.2,180074.9,96981.81
########,Kepulauan Seribu - Pulau Pramuka,-5.744,1.066.145,wisata,Kepulauan Seribu,450,2,15,5,2024,136,0,Kemarau,Cerah,29.8,59.4,10.7,Tidak Ada,0,0,11779.56,7633.54,4146.01,1502.3
########,Jakarta Pusat - Menteng,-61.944,1.068.367,urban,Jakarta Pusat,12500,3,16,5,2024,137,0,Kemarau,Cerah,35.4,56.6,1.7,Tidak Ada,0,0,160744.4,94753.88,65990.54,32859.59
########,Jakarta Pusat - Tanah Abang,-61.857,106.811,komersial,Jakarta Pusat,22000,3,16,5,2024,137,0,Kemarau,Cerah,29.7,62.4,0,Tidak Ada,0,0,454842.5,266476.2,188366.3,66141.54
########,Jakarta Pusat - Kemayoran,-61.567,1.068.557,urban,Jakarta Pusat,26500,3,16,5,2024,137,0,Kemarau,Cerah,29.3,69.1,11.9,Tidak Ada,0,0,463562.4,268704.4,194858,75086.95
########,Jakarta Pusat - Gambir,-61.754,1.068.272,pemerintahan,Jakarta Pusat,9800,3,16,5,2024,137,0,Kemarau,Cerah,27.5,75.4,5.5,Tidak Ada,0,0,130642.8,72780.36,57862.49,20860.84
########,Jakarta Utara - Tanjung Priok,-61.247,106.877,industri,Jakarta Utara,13500,3,16,5,2024,137,0,Kemarau,Cerah,30,58.6,1,Tidak Ada,0,0,190835.5,113327.2,77508.34,35724.91
########,Jakarta Utara - Penjaringan,-61.171,106.796,urban,Jakarta Utara,19200,3,16,5,2024,137,0,Kemarau,Cerah,31.8,62.5,6,Tidak Ada,0,0,308141.5,170674.5,137467,46321.85
########,Jakarta Utara - Kelapa Gading,-61.588,1.069.054,komersial,Jakarta Utara,11800,3,16,5,2024,137,0,Kemarau,Cerah,34.6,59.5,6.9,Tidak Ada,0,0,216975.3,140280,76695.32,35958.57
########,Jakarta Barat - Cengkareng,-6.144,1.067.284,urban,Jakarta Barat,21500,3,16,5,2024,137,0,Kemarau,Cerah,35.7,71.4,0,Tidak Ada,0,0,419790.7,236692.8,183097.9,55947.42
########,Jakarta Barat - Grogol Petamburan,-61.684,1.067.851,komersial,Jakarta Barat,19800,3,16,5,2024,137,0,Kemarau,Cerah,29.3,59.2,0.6,Tidak Ada,0,0,380786,225940.1,154845.8,74026.41
########,Jakarta Barat - Tambora,-61.503,1.068.043,urban,Jakarta Barat,44400,3,16,5,2024,137,0,Kemarau,Cerah,35.2,65.2,0,Tidak Ada,0,0,733168.7,453721.5,279447.3,92246.82
########,Jakarta Barat - Kebon Jeruk,-61.901,1.067.673,urban,Jakarta Barat,17500,3,16,5,2024,137,0,Kemarau,Cerah,32.7,66.9,2,Tidak Ada,0,0,283594.5,161163,122431.5,60536.48
########,Jakarta Selatan - Kebayoran Baru,-62.447,1.067.969,urban,Jakarta Selatan,14800,3,16,5,2024,137,0,Kemarau,Cerah,32.1,58.6,12.6,Tidak Ada,0,0,228239,142193.8,86045.21,28477.75
########,Jakarta Selatan - Tebet,-62.262,1.068.492,urban,Jakarta Selatan,21200,3,16,5,2024,137,0,Kemarau,Cerah,29.8,77.5,0,Tidak Ada,0,0,342843.6,191711.3,151132.3,44369.34
########,Jakarta Selatan - Pancoran,-6.248,1.068.418,urban,Jakarta Selatan,17600,3,16,5,2024,137,0,Kemarau,Cerah,32.8,56.1,6,Tidak Ada,0,0,315220.9,184287.8,130933.2,52474
########,Jakarta Selatan - Jagakarsa,-63.325,1.068.256,suburban,Jakarta Selatan,11500,3,16,5,2024,137,0,Kemarau,Cerah,32.5,76.7,6.8,Tidak Ada,0,0,142855.9,86276.07,56579.83,26913.53
########,Jakarta Timur - Jatinegara,-62.194,1.068.706,komersial,Jakarta Timur,21800,3,16,5,2024,137,0,Kemarau,Cerah,28.2,73.7,5.7,Tidak Ada,0,0,473478.9,292475.9,181003,83965.19
########,Jakarta Timur - Cakung,-61.824,1.069.372,industri,Jakarta Timur,14200,3,16,5,2024,137,0,Kemarau,Cerah,28.9,61.3,8.7,Tidak Ada,0,0,208265.6,131632.7,76632.84,38560.06
########,Jakarta Timur - Duren Sawit,-62.361,106.91,urban,Jakarta Timur,17300,3,16,5,2024,137,0,Kemarau,Cerah,30,70.1,0,Tidak Ada,0,0,273817.6,151666.6,122151,49786.99
########,Jakarta Timur - Matraman,-62.026,1.068.589,urban,Jakarta Timur,36200,3,16,5,2024,137,0,Kemarau,Cerah,31.5,70.9,0,Tidak Ada,0,0,700214.5,408969,291245.5,102279.9
########,Kepulauan Seribu - Pulau Pramuka,-5.744,1.066.145,wisata,Kepulauan Seribu,450,3,16,5,2024,137,0,Kemarau,Cerah,35.7,67.6,2.1,Tidak Ada,0,0,10234.61,5669.14,4565.47,1655.9
########,Jakarta Pusat - Menteng,-61.944,1.068.367,urban,Jakarta Pusat,12500,4,17,5,2024,138,0,Kemarau,Berawan,29.3,68.4,11.4,Tidak Ada,0,0,260808.1,162526.4,98281.66,34627.22
########,Jakarta Pusat - Tanah Abang,-61.857,106.811,komersial,Jakarta Pusat,22000,4,17,5,2024,138,0,Kemarau,Berawan,33.7,60.5,8.4,Tidak Ada,0,0,457169.3,262351,194818.3,85940.73
########,Jakarta Pusat - Kemayoran,-61.567,1.068.557,urban,Jakarta Pusat,26500,4,17,5,2024,138,0,Kemarau,Berawan,29.7,57.3,0,Tidak Ada,0,0,495268.2,296990.6,198277.6,78728.72
########,Jakarta Pusat - Gambir,-61.754,1.068.272,pemerintahan,Jakarta Pusat,9800,4,17,5,2024,138,0,Kemarau,Berawan,31.3,66.3,7.9,Tidak Ada,0,0,149185.7,96326.26,52859.48,27998.73
########,Jakarta Utara - Tanjung Priok,-61.247,106.877,industri,Jakarta Utara,13500,4,17,5,2024,138,0,Kemarau,Berawan,34,57.6,13.7,Tidak Ada,0,0,221377.4,126466.9,94910.51,47511.89
########,Jakarta Utara - Penjaringan,-61.171,106.796,urban,Jakarta Utara,19200,4,17,5,2024,138,0,Kemarau,Berawan,33.2,74.3,11.4,Tidak Ada,0,0,348430.2,216229.9,132200.3,75562.38
########,Jakarta Utara - Kelapa Gading,-61.588,1.069.054,komersial,Jakarta Utara,11800,4,17,5,2024,138,0,Kemarau,Berawan,30.6,75.5,3.3,Tidak Ada,0,0,242200.1,143530,98670.11,34454.82
########,Jakarta Barat - Cengkareng,-6.144,1.067.284,urban,Jakarta Barat,21500,4,17,5,2024,138,0,Kemarau,Berawan,34.8,75.2,0,Tidak Ada,0,0,379581.5,217622.8,161958.8,67615.06
########,Jakarta Barat - Grogol Petamburan,-61.684,1.067.851,komersial,Jakarta Barat,19800,4,17,5,2024,138,0,Kemarau,Berawan,33.4,66.1,2.1,Tidak Ada,0,0,415873.4,253345.5,162528,64469.46
########,Jakarta Barat - Tambora,-61.503,1.068.043,urban,Jakarta Barat,44400,4,17,5,2024,138,0,Kemarau,Berawan,30.9,60.8,0,Tidak Ada,0,0,895784.4,514961.7,380822.7,137077.6
########,Jakarta Barat - Kebon Jeruk,-61.901,1.067.673,urban,Jakarta Barat,17500,4,17,5,2024,138,0,Kemarau,Berawan,34.4,72.1,0,Tidak Ada,0,0,352006.8,219686.5,132320.3,69246.6
########,Jakarta Selatan - Kebayoran Baru,-62.447,1.067.969,urban,Jakarta Selatan,14800,4,17,5,2024,138,0,Kemarau,Berawan,27.7,67.2,6.8,Tidak Ada,0,0,231414.4,136539.7,94874.75,38824.74
########,Jakarta Selatan - Tebet,-62.262,1.068.492,urban,Jakarta Selatan,21200,4,17,5,2024,138,0,Kemarau,Berawan,29.9,56,1.6,Tidak Ada,0,0,423266.3,274187.7,149078.6,74325.78
########,Jakarta Selatan - Pancoran,-6.248,1.068.418,urban,Jakarta Selatan,17600,4,17,5,2024,138,0,Kemarau,Berawan,29,61.8,0,Tidak Ada,0,0,335451.6,187028.8,148422.8,45829.92
########,Jakarta Selatan - Jagakarsa,-63.325,1.068.256,suburban,Jakarta Selatan,11500,4,17,5,2024,138,0,Kemarau,Berawan,27.5,64.1,0,Tidak Ada,0,0,171518.7,110033.6,61485.1,37025.79
########,Jakarta Timur - Jatinegara,-62.194,1.068.706,komersial,Jakarta Timur,21800,4,17,5,2024,138,0,Kemarau,Berawan,30.5,60.3,0,Tidak Ada,0,0,431268.3,244515.3,186753,79648.71
########,Jakarta Timur - Cakung,-61.824,1.069.372,industri,Jakarta Timur,14200,4,17,5,2024,138,0,Kemarau,Berawan,27.3,61.4,0,Tidak Ada,0,0,192626.4,110951.9,81674.57,31845.79
########,Jakarta Timur - Duren Sawit,-62.361,106.91,urban,Jakarta Timur,17300,4,17,5,2024,138,0,Kemarau,Berawan,27.7,76.6,0,Tidak Ada,0,0,356619.8,205803.8,150816,47544.02
########,Jakarta Timur - Matraman,-62.026,1.068.589,urban,Jakarta Timur,36200,4,17,5,2024,138,0,Kemarau,Berawan,34.9,67.7,0,Tidak Ada,0,0,743481.8,477254.1,266227.7,95370.01
########,Kepulauan Seribu - Pulau Pramuka,-5.744,1.066.145,wisata,Kepulauan Seribu,450,4,17,5,2024,138,0,Kemarau,Berawan,35.9,63.7,0,Tidak Ada,0,0,9889.88,6208.47,3681.41,1661.87
########,Jakarta Pusat - Menteng,-61.944,1.068.367,urban,Jakarta Pusat,12500,5,18,5,2024,139,1,Kemarau,Hujan Ringan,27.3,58.1,1.1,Tidak Ada,0,0,285791.8,173449.4,112342.4,36110.14
########,Jakarta Pusat - Tanah Abang,-61.857,106.811,komersial,Jakarta Pusat,22000,5,18,5,2024,139,1,Kemarau,Hujan Ringan,32.3,71.7,12.6,Tidak Ada,0,0,541644.8,338523.2,203121.6,114458.5
########,Jakarta Pusat - Kemayoran,-61.567,1.068.557,urban,Jakarta Pusat,26500,5,18,5,2024,139,1,Kemarau,Hujan Ringan,29.3,61.3,9.8,Tidak Ada,0,0,508218.8,291772.7,216446.1,71407.04
########,Jakarta Pusat - Gambir,-61.754,1.068.272,pemerintahan,Jakarta Pusat,9800,5,18,5,2024,139,1,Kemarau,Hujan Ringan,29.4,55.5,1.7,Tidak Ada,0,0,187492.3,117313.9,70178.4,23378.35
########,Jakarta Utara - Tanjung Priok,-61.247,106.877,industri,Jakarta Utara,13500,5,18,5,2024,139,1,Kemarau,Hujan Ringan,34.3,77.3,1.7,Tidak Ada,0,0,151370.9,95838.53,55532.35,22823.36
########,Jakarta Utara - Penjaringan,-61.171,106.796,urban,Jakarta Utara,19200,5,18,5,2024,139,1,Kemarau,Hujan Ringan,32.8,73.5,15.7,Tidak Ada,0,0,371407.5,219893.1,151514.4,73712.07
########,Jakarta Utara - Kelapa Gading,-61.588,1.069.054,komersial,Jakarta Utara,11800,5,18,5,2024,139,1,Kemarau,Hujan Ringan,32.7,67.8,7,Tidak Ada,0,0,287457,186285.5,101171.6,51974.76
########,Jakarta Barat - Cengkareng,-6.144,1.067.284,urban,Jakarta Barat,21500,5,18,5,2024,139,1,Kemarau,Hujan Ringan,35.2,61.9,0.7,Tidak Ada,0,0,451793.9,273219.9,178574,74587.12
########,Jakarta Barat - Grogol Petamburan,-61.684,1.067.851,komersial,Jakarta Barat,19800,5,18,5,2024,139,1,Kemarau,Hujan Ringan,34.6,72.7,4.1,Tidak Ada,0,0,561171.8,353340.3,207831.6,93117.87
########,Jakarta Barat - Tambora,-61.503,1.068.043,urban,Jakarta Barat,44400,5,18,5,2024,139,1,Kemarau,Hujan Ringan,30.1,67.4,9,Tidak Ada,0,0,771514.9,440467.9,331046.9,137302.6
########,Jakarta Barat - Kebon Jeruk,-61.901,1.067.673,urban,Jakarta Barat,17500,5,18,5,2024,139,1,Kemarau,Hujan Ringan,28.6,71,0,Tidak Ada,0,0,442741.4,261230.7,181510.7,84017.59
########,Jakarta Selatan - Kebayoran Baru,-62.447,1.067.969,urban,Jakarta Selatan,14800,5,18,5,2024,139,1,Kemarau,Hujan Ringan,32.4,60.1,1.8,Tidak Ada,0,0,333632.1,200687.6,132944.5,72501.94
########,Jakarta Selatan - Tebet,-62.262,1.068.492,urban,Jakarta Selatan,21200,5,18,5,2024,139,1,Kemarau,Hujan Ringan,31.9,67.3,8.2,Tidak Ada,0,0,412704.1,241333.7,171370.5,50837.09
########,Jakarta Selatan - Pancoran,-6.248,1.068.418,urban,Jakarta Selatan,17600,5,18,5,2024,139,1,Kemarau,Hujan Ringan,29.9,57.1,1.6,Tidak Ada,0,0,389136.4,219035.1,170101.3,59541.74
########,Jakarta Selatan - Jagakarsa,-63.325,1.068.256,suburban,Jakarta Selatan,11500,5,18,5,2024,139,1,Kemarau,Hujan Ringan,30.4,55.1,2,Tidak Ada,0,0,209255.5,125797.3,83458.28,28395.51
########,Jakarta Timur - Jatinegara,-62.194,1.068.706,komersial,Jakarta Timur,21800,5,18,5,2024,139,1,Kemarau,Hujan Ringan,29.1,72.5,3.2,Tidak Ada,0,0,528193,318848.5,209344.5,112190.4
########,Jakarta Timur - Cakung,-61.824,1.069.372,industri,Jakarta Timur,14200,5,18,5,2024,139,1,Kemarau,Hujan Ringan,28.2,70.8,4.3,Tidak Ada,0,0,287607.1,159976.9,127630.2,38761.93
########,Jakarta Timur - Duren Sawit,-62.361,106.91,urban,Jakarta Timur,17300,5,18,5,2024,139,1,Kemarau,Hujan Ringan,30.2,64.1,6.3,Tidak Ada,0,0,371360.7,205380,165980.7,76768.24
########,Jakarta Timur - Matraman,-62.026,1.068.589,urban,Jakarta Timur,36200,5,18,5,2024,139,1,Kemarau,Hujan Ringan,34.6,57.1,0.6,Tidak Ada,0,0,763846.4,434039.2,329807.2,134739.8
########,Kepulauan Seribu - Pulau Pramuka,-5.744,1.066.145,wisata,Kepulauan Seribu,450,5,18,5,2024,139,1,Kemarau,Hujan Ringan,30.2,69.9,4,Tidak Ada,0,0,10045.11,5869.28,4175.82,1681.52
########,Jakarta Pusat - Menteng,-61.944,1.068.367,urban,Jakarta Pusat,12500,6,19,5,2024,140,1,Kemarau,Berawan,32.1,63.7,5.8,Jakarta Marathon,25946,1,315529.4,191139.6,124389.8,56370.45
########,Jakarta Pusat - Tanah Abang,-61.857,106.811,komersial,Jakarta Pusat,22000,6,19,5,2024,140,1,Kemarau,Berawan,31.5,62.6,1.6,Jakarta Marathon,25946,1,597418,364876.3,232541.6,86288.25
########,Jakarta Pusat - Kemayoran,-61.567,1.068.557,urban,Jakarta Pusat,26500,6,19,5,2024,140,1,Kemarau,Berawan,27.8,73.5,0,Jakarta Marathon,25946,1,502604.1,300949.8,201654.3,103074.9
########,Jakarta Pusat - Gambir,-61.754,1.068.272,pemerintahan,Jakarta Pusat,9800,6,19,5,2024,140,1,Kemarau,Berawan,35.8,66.3,7.5,Tidak Ada,0,0,168551.1,108165.9,60385.18,20315.46
########,Jakarta Utara - Tanjung Priok,-61.247,106.877,industri,Jakarta Utara,13500,6,19,5,2024,140,1,Kemarau,Berawan,31.3,74.3,5.8,Tidak Ada,0,0,229205.5,142530.4,86675.03,39767.99
########,Jakarta Utara - Penjaringan,-61.171,106.796,urban,Jakarta Utara,19200,6,19,5,2024,140,1,Kemarau,Berawan,33.4,72.7,6.2,Jakarta Marathon,25946,1,352795,220011.7,132783.3,61027.88
########,Jakarta Utara - Kelapa Gading,-61.588,1.069.054,komersial,Jakarta Utara,11800,6,19,5,2024,140,1,Kemarau,Berawan,32.3,63.5,0,Jakarta Marathon,25946,1,277349.6,178391.7,98957.93,42174.95
########,Jakarta Barat - Cengkareng,-6.144,1.067.284,urban,Jakarta Barat,21500,6,19,5,2024,140,1,Kemarau,Berawan,33.2,57,0,Jakarta Marathon,25946,1,524423.3,317219.5,207203.7,73510.01
########,Jakarta Barat - Grogol Petamburan,-61.684,1.067.851,komersial,Jakarta Barat,19800,6,19,5,2024,140,1,Kemarau,Berawan,28,74.6,0,Jakarta Marathon,25946,1,461450,281766.1,179683.9,92026.48
########,Jakarta Barat - Tambora,-61.503,1.068.043,urban,Jakarta Barat,44400,6,19,5,2024,140,1,Kemarau,Berawan,28.8,63.7,10.5,Jakarta Marathon,25946,1,847245.8,545028,302217.8,185625.6
########,Jakarta Barat - Kebon Jeruk,-61.901,1.067.673,urban,Jakarta Barat,17500,6,19,5,2024,140,1,Kemarau,Berawan,34.5,72.3,4.8,Jakarta Marathon,25946,1,360228.6,199858.3,160370.4,71379.82
########,Jakarta Selatan - Kebayoran Baru,-62.447,1.067.969,urban,Jakarta Selatan,14800,6,19,5,2024,140,1,Kemarau,Berawan,32.7,75.9,5.4,Jakarta Marathon,25946,1,314601,178894.8,135706.1,45167
########,Jakarta Selatan - Tebet,-62.262,1.068.492,urban,Jakarta Selatan,21200,6,19,5,2024,140,1,Kemarau,Berawan,33.4,75.7,0,Jakarta Marathon,25946,1,463677,286690.7,176986.4,76597.06
########,Jakarta Selatan - Pancoran,-6.248,1.068.418,urban,Jakarta Selatan,17600,6,19,5,2024,140,1,Kemarau,Berawan,30.2,64,14,Jakarta Marathon,25946,1,493815.6,293264.5,200551.1,87775.05
########,Jakarta Selatan - Jagakarsa,-63.325,1.068.256,suburban,Jakarta Selatan,11500,6,19,5,2024,140,1,Kemarau,Berawan,30.9,62.7,3.3,Tidak Ada,0,0,147761.2,84652.75,63108.42,25752.55
########,Jakarta Timur - Jatinegara,-62.194,1.068.706,komersial,Jakarta Timur,21800,6,19,5,2024,140,1,Kemarau,Berawan,31.5,72.1,8.5,Jakarta Marathon,25946,1,558612,316550.4,242061.6,116114.7
########,Jakarta Timur - Cakung,-61.824,1.069.372,industri,Jakarta Timur,14200,6,19,5,2024,140,1,Kemarau,Berawan,28.8,71.4,8,Tidak Ada,0,0,241364.4,151542.4,89822.03,32418.33
########,Jakarta Timur - Duren Sawit,-62.361,106.91,urban,Jakarta Timur,17300,6,19,5,2024,140,1,Kemarau,Berawan,30.4,65.5,2.8,Jakarta Marathon,25946,1,407117.6,228104.6,179013,70695.21
########,Jakarta Timur - Matraman,-62.026,1.068.589,urban,Jakarta Timur,36200,6,19,5,2024,140,1,Kemarau,Berawan,30.7,72.8,15.5,Jakarta Marathon,25946,1,735766.4,444392.7,291373.8,124076.5
########,Kepulauan Seribu - Pulau Pramuka,-5.744,1.066.145,wisata,Kepulauan Seribu,450,6,19,5,2024,140,1,Kemarau,Berawan,32.4,74,2.3,Tidak Ada,0,0,10897.13,6609.66,4287.47,2088.09
########,Jakarta Pusat - Menteng,-61.944,1.068.367,urban,Jakarta Pusat,12500,0,20,5,2024,141,0,Kemarau,Hujan Lebat,32.5,76,0,Jakarta Marathon,25946,1,276907.3,164028.7,112878.6,41201.85
########,Jakarta Pusat - Tanah Abang,-61.857,106.811,komersial,Jakarta Pusat,22000,0,20,5,2024,141,0,Kemarau,Hujan Lebat,35.3,73.2,0,Jakarta Marathon,25946,1,697194.3,424797.9,272396.4,90789.52
########,Jakarta Pusat - Kemayoran,-61.567,1.068.557,urban,Jakarta Pusat,26500,0,20,5,2024,141,0,Kemarau,Hujan Lebat,27.9,74.3,9.5,Jakarta Marathon,25946,1,625313.9,348232.4,277081.5,79872.66
########,Jakarta Pusat - Gambir,-61.754,1.068.272,pemerintahan,Jakarta Pusat,9800,0,20,5,2024,141,0,Kemarau,Hujan Lebat,30,62.2,0.5,Tidak Ada,0,0,192887.7,109682.2,83205.57,39300.7
########,Jakarta Utara - Tanjung Priok,-61.247,106.877,industri,Jakarta Utara,13500,0,20,5,2024,141,0,Kemarau,Hujan Lebat,28.9,73.1,0,Tidak Ada,0,0,277406.7,163095.9,114310.8,53934.79
########,Jakarta Utara - Penjaringan,-61.171,106.796,urban,Jakarta Utara,19200,0,20,5,2024,141,0,Kemarau,Hujan Lebat,35.3,65.7,4.2,Jakarta Marathon,25946,1,437987.1,259047.7,178939.4,90379.44
########,Jakarta Utara - Kelapa Gading,-61.588,1.069.054,komersial,Jakarta Utara,11800,0,20,5,2024,141,0,Kemarau,Hujan Lebat,35.2,60.7,2.8,Jakarta Marathon,25946,1,373009.5,227053.5,145956.1,45986.36
########,Jakarta Barat - Cengkareng,-6.144,1.067.284,urban,Jakarta Barat,21500,0,20,5,2024,141,0,Kemarau,Hujan Lebat,34,61.4,4.4,Jakarta Marathon,25946,1,475390.5,263075.4,212315.2,71854
########,Jakarta Barat - Grogol Petamburan,-61.684,1.067.851,komersial,Jakarta Barat,19800,0,20,5,2024,141,0,Kemarau,Hujan Lebat,31.1,67.8,0,Jakarta Marathon,25946,1,538541.9,323942.3,214599.6,117162
########,Jakarta Barat - Tambora,-61.503,1.068.043,urban,Jakarta Barat,44400,0,20,5,2024,141,0,Kemarau,Hujan Lebat,29.8,64.1,8.6,Jakarta Marathon,25946,1,1127131,640713.6,486417.7,169024.2
########,Jakarta Barat - Kebon Jeruk,-61.901,1.067.673,urban,Jakarta Barat,17500,0,20,5,2024,141,0,Kemarau,Hujan Lebat,32.6,63.7,1.4,Jakarta Marathon,25946,1,498734.4,291729.1,207005.4,83200.46
########,Jakarta Selatan - Kebayoran Baru,-62.447,1.067.969,urban,Jakarta Selatan,14800,0,20,5,2024,141,0,Kemarau,Hujan Lebat,31.7,67.3,8.8,Jakarta Marathon,25946,1,382892.3,221849.5,161042.8,73287.84
########,Jakarta Selatan - Tebet,-62.262,1.068.492,urban,Jakarta Selatan,21200,0,20,5,2024,141,0,Kemarau,Hujan Lebat,30,56.7,0,Jakarta Marathon,25946,1,502320.9,314722,187599,65451.48
########,Jakarta Selatan - Pancoran,-6.248,1.068.418,urban,Jakarta Selatan,17600,0,20,5,2024,141,0,Kemarau,Hujan Lebat,34.2,77.5,7.6,Jakarta Marathon,25946,1,525407.8,336126,189281.8,90715.79
########,Jakarta Selatan - Jagakarsa,-63.325,1.068.256,suburban,Jakarta Selatan,11500,0,20,5,2024,141,0,Kemarau,Hujan Lebat,31.5,68.7,0,Tidak Ada,0,0,222620.5,128093.3,94527.13,31080.33
########,Jakarta Timur - Jatinegara,-62.194,1.068.706,komersial,Jakarta Timur,21800,0,20,5,2024,141,0,Kemarau,Hujan Lebat,33.5,73.5,0,Jakarta Marathon,25946,1,687341.5,439036.7,248304.8,120746.8
########,Jakarta Timur - Cakung,-61.824,1.069.372,industri,Jakarta Timur,14200,0,20,5,2024,141,0,Kemarau,Hujan Lebat,35.5,58.2,3.3,Tidak Ada,0,0,277260,174863.7,102396.3,59961.61
########,Jakarta Timur - Duren Sawit,-62.361,106.91,urban,Jakarta Timur,17300,0,20,5,2024,141,0,Kemarau,Hujan Lebat,33.6,74.5,0,Jakarta Marathon,25946,1,360847,201602.5,159244.5,66151.95
########,Jakarta Timur - Matraman,-62.026,1.068.589,urban,Jakarta Timur,36200,0,20,5,2024,141,0,Kemarau,Hujan Lebat,30,74,7.8,Jakarta Marathon,25946,1,1033273,662392.8,370880.7,188547.8
########,Kepulauan Seribu - Pulau Pramuka,-5.744,1.066.145,wisata,Kepulauan Seribu,450,0,20,5,2024,141,0,Kemarau,Hujan Lebat,34,63.3,2.5,Tidak Ada,0,0,13055.4,8264.92,4790.48,2017.31
########,Jakarta Pusat - Menteng,-61.944,1.068.367,urban,Jakarta Pusat,12500,1,21,5,2024,142,0,Kemarau,Hujan Sedang,31.2,59.2,4.3,Tidak Ada,0,0,242932.6,147357.5,95575.12,53089.7
